ruimteverwarming,sanitair warm water,elektriciteit,,,totaal,bron
3.73E-05,6.25E-06,2.70E-05,,,,
3.73E-05,6.25E-06,2.63E-05,,,,
3.73E-05,6.25E-06,2.48E-05,,,,
3.10E-05,2.83E-06,2.42E-05,,,,
3.10E-05,2.83E-06,2.20E-05,,,,
3.10E-05,2.83E-06,2.18E-05,,,,
3.10E-05,2.83E-06,2.09E-05,,,,
2.92E-05,2.14E-06,2.01E-05,,,,
2.92E-05,2.14E-06,1.99E-05,,,,
2.92E-05,2.14E-06,1.95E-05,,,,
2.92E-05,2.14E-06,1.95E-05,,,,
2.87E-05,2.14E-06,1.90E-05,,,,
2.87E-05,2.14E-06,1.86E-05,,,,
2.87E-05,2.14E-06,1.83E-05,,,,
2.87E-05,2.14E-06,1.78E-05,,,,
2.99E-05,2.83E-06,0.000017164,,,,
2.99E-05,2.83E-06,1.66E-05,,,,
2.99E-05,2.83E-06,1.59E-05,,,,
2.99E-05,2.83E-06,1.57E-05,,,,
3.25E-05,4.88E-06,1.59E-05,,,,
3.25E-05,4.88E-06,1.60E-05,,,,
3.25E-05,4.88E-06,1.63E-05,,,,
3.25E-05,4.88E-06,1.60E-05,,,,
3.83E-05,6.94E-06,0.000015656,,,,
3.83E-05,6.94E-06,1.53E-05,,,,
3.83E-05,6.94E-06,1.55E-05,,,,
3.83E-05,6.94E-06,1.55E-05,,,,
5.84E-05,1.24E-05,1.64E-05,,,,
5.84E-05,1.24E-05,1.69E-05,,,,
5.84E-05,1.24E-05,1.72E-05,,,,
5.84E-05,1.24E-05,1.79E-05,,,,
7.94E-05,6.38E-05,0.000018269,,,,
7.94E-05,6.38E-05,2.01E-05,,,,
7.94E-05,6.38E-05,2.32E-05,,,,
7.94E-05,6.38E-05,2.57E-05,,,,
9.45E-05,0.000107623,3.01E-05,,,,
9.45E-05,0.000107623,3.35E-05,,,,
9.45E-05,0.000107623,3.60E-05,,,,
9.45E-05,0.000107623,0.000037688,,,,
9.34E-05,5.56E-05,4.03E-05,,,,
9.34E-05,5.56E-05,4.22E-05,,,,
9.34E-05,5.56E-05,4.33E-05,,,,
9.34E-05,5.56E-05,4.37E-05,,,,
8.69E-05,5.15E-05,4.48E-05,,,,
8.69E-05,5.15E-05,4.57E-05,,,,
8.69E-05,5.15E-05,4.63E-05,,,,
8.69E-05,5.15E-05,4.64E-05,,,,
8.08E-05,4.80E-05,4.81E-05,,,,
8.08E-05,4.80E-05,4.99E-05,,,,
8.08E-05,4.80E-05,5.15E-05,,,,
8.08E-05,4.80E-05,5.19E-05,,,,
7.53E-05,4.53E-05,5.18E-05,,,,
7.53E-05,4.53E-05,5.11E-05,,,,
7.53E-05,4.53E-05,5.00E-05,,,,
7.53E-05,4.53E-05,4.87E-05,,,,
7.00E-05,4.87E-05,4.69E-05,,,,
7.00E-05,4.87E-05,4.60E-05,,,,
7.00E-05,4.87E-05,4.53E-05,,,,
7.00E-05,4.87E-05,4.47E-05,,,,
6.72E-05,3.50E-05,4.38E-05,,,,
6.72E-05,3.50E-05,4.28E-05,,,,
6.72E-05,3.50E-05,4.25E-05,,,,
6.72E-05,3.50E-05,4.32E-05,,,,
6.76E-05,2.61E-05,4.33E-05,,,,
6.76E-05,2.61E-05,4.23E-05,,,,
6.76E-05,2.61E-05,4.18E-05,,,,
6.76E-05,2.61E-05,4.19E-05,,,,
7.06E-05,2.27E-05,4.18E-05,,,,
7.06E-05,2.27E-05,4.10E-05,,,,
7.06E-05,2.27E-05,4.14E-05,,,,
7.06E-05,2.27E-05,4.54E-05,,,,
7.38E-05,2.82E-05,4.91E-05,,,,
7.38E-05,2.82E-05,5.06E-05,,,,
7.38E-05,2.82E-05,5.14E-05,,,,
7.38E-05,2.82E-05,5.26E-05,,,,
7.47E-05,2.00E-05,5.38E-05,,,,
7.47E-05,2.00E-05,5.37E-05,,,,
7.47E-05,2.00E-05,5.26E-05,,,,
7.47E-05,2.00E-05,5.16E-05,,,,
7.29E-05,4.19E-05,5.14E-05,,,,
7.29E-05,4.19E-05,5.01E-05,,,,
7.29E-05,4.19E-05,4.94E-05,,,,
7.29E-05,4.19E-05,4.87E-05,,,,
6.97E-05,2.82E-05,4.78E-05,,,,
6.97E-05,2.82E-05,4.75E-05,,,,
6.97E-05,2.82E-05,4.68E-05,,,,
6.97E-05,2.82E-05,4.54E-05,,,,
6.22E-05,9.68E-06,4.40E-05,,,,
6.22E-05,9.68E-06,0.000042589,,,,
6.22E-05,9.68E-06,4.17E-05,,,,
6.22E-05,9.68E-06,4.13E-05,,,,
4.71E-05,1.24E-05,3.85E-05,,,,
4.71E-05,1.24E-05,3.64E-05,,,,
4.71E-05,1.24E-05,3.42E-05,,,,
4.71E-05,1.24E-05,3.20E-05,,,,
3.38E-05,6.25E-06,2.81E-05,,,,
3.38E-05,6.25E-06,2.58E-05,,,,
3.38E-05,6.25E-06,2.46E-05,,,,
3.38E-05,6.25E-06,2.26E-05,,,,
2.85E-05,2.83E-06,2.10E-05,,,,
2.85E-05,2.83E-06,1.89E-05,,,,
2.85E-05,2.83E-06,1.86E-05,,,,
2.85E-05,2.83E-06,1.78E-05,,,,
2.74E-05,2.14E-06,0.000017183,,,,
2.74E-05,2.14E-06,1.73E-05,,,,
2.74E-05,2.14E-06,1.71E-05,,,,
2.74E-05,2.14E-06,1.74E-05,,,,
2.80E-05,2.14E-06,1.69E-05,,,,
2.80E-05,2.14E-06,1.68E-05,,,,
2.80E-05,2.14E-06,1.66E-05,,,,
2.80E-05,2.14E-06,0.000016395,,,,
2.94E-05,2.83E-06,1.60E-05,,,,
2.94E-05,2.83E-06,1.56E-05,,,,
2.94E-05,2.83E-06,0.000015092,,,,
2.94E-05,2.83E-06,1.50E-05,,,,
3.47E-05,4.88E-06,1.53E-05,,,,
3.47E-05,4.88E-06,1.57E-05,,,,
3.47E-05,4.88E-06,1.62E-05,,,,
3.47E-05,4.88E-06,1.61E-05,,,,
4.83E-05,6.94E-06,1.63E-05,,,,
4.83E-05,6.94E-06,1.63E-05,,,,
4.83E-05,6.94E-06,1.73E-05,,,,
4.83E-05,6.94E-06,1.80E-05,,,,
8.19E-05,1.24E-05,2.06E-05,,,,
8.19E-05,1.24E-05,2.26E-05,,,,
8.19E-05,1.24E-05,2.49E-05,,,,
8.19E-05,1.24E-05,2.75E-05,,,,
9.13E-05,6.38E-05,2.91E-05,,,,
9.13E-05,6.38E-05,3.19E-05,,,,
9.13E-05,6.38E-05,3.44E-05,,,,
9.13E-05,6.38E-05,3.52E-05,,,,
8.52E-05,0.000107623,3.68E-05,,,,
8.52E-05,0.000107623,3.72E-05,,,,
8.52E-05,0.000107623,3.69E-05,,,,
8.52E-05,0.000107623,3.64E-05,,,,
7.86E-05,5.56E-05,3.72E-05,,,,
7.86E-05,5.56E-05,3.74E-05,,,,
7.86E-05,5.56E-05,3.70E-05,,,,
7.86E-05,5.56E-05,3.61E-05,,,,
7.27E-05,5.15E-05,3.65E-05,,,,
7.27E-05,5.15E-05,3.64E-05,,,,
7.27E-05,5.15E-05,3.65E-05,,,,
7.27E-05,5.15E-05,3.62E-05,,,,
6.95E-05,4.80E-05,3.72E-05,,,,
6.95E-05,4.80E-05,0.000038631,,,,
6.95E-05,4.80E-05,3.95E-05,,,,
6.95E-05,4.80E-05,3.91E-05,,,,
6.76E-05,4.53E-05,3.80E-05,,,,
6.76E-05,4.53E-05,3.66E-05,,,,
6.76E-05,4.53E-05,3.57E-05,,,,
6.76E-05,4.53E-05,3.48E-05,,,,
6.54E-05,4.87E-05,3.35E-05,,,,
6.54E-05,4.87E-05,3.30E-05,,,,
6.54E-05,4.87E-05,3.28E-05,,,,
6.54E-05,4.87E-05,3.29E-05,,,,
6.42E-05,3.50E-05,3.26E-05,,,,
6.42E-05,3.50E-05,3.20E-05,,,,
6.42E-05,3.50E-05,3.22E-05,,,,
6.42E-05,3.50E-05,3.34E-05,,,,
6.69E-05,2.61E-05,3.38E-05,,,,
6.69E-05,2.61E-05,3.34E-05,,,,
6.69E-05,2.61E-05,3.36E-05,,,,
6.69E-05,2.61E-05,3.46E-05,,,,
7.55E-05,2.27E-05,3.56E-05,,,,
7.55E-05,2.27E-05,0.000035946,,,,
7.55E-05,2.27E-05,3.75E-05,,,,
7.55E-05,2.27E-05,4.25E-05,,,,
8.16E-05,2.82E-05,4.75E-05,,,,
8.16E-05,2.82E-05,4.95E-05,,,,
8.16E-05,2.82E-05,5.08E-05,,,,
8.16E-05,2.82E-05,5.21E-05,,,,
8.12E-05,2.00E-05,5.35E-05,,,,
8.12E-05,2.00E-05,5.37E-05,,,,
8.12E-05,2.00E-05,0.000053049,,,,
8.12E-05,2.00E-05,5.20E-05,,,,
7.91E-05,4.19E-05,5.14E-05,,,,
7.91E-05,4.19E-05,5.00E-05,,,,
7.91E-05,4.19E-05,4.90E-05,,,,
7.91E-05,4.19E-05,0.000048056,,,,
